timestamp,elapsed_time,pos_x,pos_y,pos_z,error_x,error_y,roll_ref_rad,pitch_ref_rad,roll_ref_deg,pitch_ref_deg,pid_x_p,pid_x_i,pid_x_d,pid_y_p,pid_y_i,pid_y_d,frame_number,marker_count,send_success,control_active,loop_time_ms
2025-09-20T02:37:48.494064,0.5034,-0.000610,0.007915,0.025661,0.000610,-0.007915,0.000183,0.002375,0.010,0.136,0.000183,0.000000,0.000000,0.002375,0.000001,-0.000000,3962639,2,1,1,0.18
2025-09-20T02:37:48.504443,0.5138,-0.000649,0.007919,0.025679,0.000649,-0.007919,0.000346,0.002394,0.020,0.137,0.000195,0.000000,0.000151,0.002376,0.000002,0.000016,3962640,2,1,1,0.25
2025-09-20T02:37:48.523518,0.5329,-0.000645,0.007922,0.025690,0.000645,-0.007922,0.000184,0.002385,0.011,0.137,0.000193,0.000000,-0.000009,0.002377,0.000003,0.000005,3962642,2,1,1,0.24
2025-09-20T02:37:48.533924,0.5433,-0.000636,0.007922,0.025660,0.000636,-0.007922,0.000160,0.002379,0.009,0.136,0.000191,0.000000,-0.000032,0.002376,0.000004,-0.000001,3962643,2,1,1,0.14
2025-09-20T02:37:48.544104,0.5535,-0.000658,0.007912,0.025671,0.000658,-0.007912,0.000286,0.002340,0.016,0.134,0.000198,0.000000,0.000088,0.002374,0.000005,-0.000038,3962644,2,1,1,0.24
2025-09-20T02:37:48.554386,0.5637,-0.034465,0.007790,0.023856,0.034465,-0.007790,0.087000,0.001874,4.985,0.107,0.010340,0.000004,0.130199,0.002337,0.000006,-0.000468,3962645,2,1,1,0.13
2025-09-20T02:37:48.564930,0.5743,-0.000639,0.007915,0.025666,0.000639,-0.007915,-0.087000,0.002855,-4.985,0.164,0.000192,0.000004,-0.128739,0.002374,0.000006,0.000474,3962646,2,1,1,0.17
2025-09-20T02:37:48.575244,0.5846,-0.000648,0.007936,0.025664,0.000648,-0.007936,0.000230,0.002468,0.013,0.141,0.000194,0.000004,0.000031,0.002381,0.000007,0.000080,3962647,2,1,1,0.15
2025-09-20T02:37:48.585606,0.5950,-0.000592,0.007913,0.025660,0.000592,-0.007913,-0.000032,0.002293,-0.002,0.131,0.000178,0.000004,-0.000214,0.002374,0.000008,-0.000089,3962648,2,1,1,0.20
2025-09-20T02:37:48.595873,0.6052,-0.000628,0.007897,0.025659,0.000628,-0.007897,0.000330,0.002319,0.019,0.133,0.000188,0.000004,0.000137,0.002369,0.000009,-0.000059,3962649,2,1,1,0.15
