timestamp,elapsed_time,pos_x,pos_y,pos_z,error_x,error_y,roll_ref_rad,pitch_ref_rad,roll_ref_deg,pitch_ref_deg,pid_x_p,pid_x_i,pid_x_d,pid_y_p,pid_y_i,pid_y_d,frame_number,marker_count,send_success,control_active,loop_time_ms
2025-09-19T23:52:00.011982,0.5011,-0.002423,0.004721,0.021926,0.002423,-0.004721,0.000727,0.001417,0.042,0.081,0.000727,0.000000,0.000000,0.001416,0.000000,-0.000000,2968979,4,1,1,0.27
2025-09-19T23:52:00.022262,0.5114,-0.002395,0.004750,0.021897,0.002395,-0.004750,0.000612,0.001537,0.035,0.088,0.000719,0.000000,-0.000107,0.001425,0.000001,0.000111,2968980,4,1,1,0.19
2025-09-19T23:52:00.038827,0.5280,-0.002425,0.004718,0.021920,0.002425,-0.004718,0.000800,0.001341,0.046,0.077,0.000727,0.000001,0.000071,0.001415,0.000002,-0.000077,2968982,4,1,1,0.21
2025-09-19T23:52:00.049161,0.5383,-0.002414,0.004739,0.021914,0.002414,-0.004739,0.000686,0.001503,0.039,0.086,0.000724,0.000001,-0.000040,0.001422,0.000002,0.000079,2968983,4,1,1,0.17
2025-09-19T23:52:00.059405,0.5486,-0.002424,0.004755,0.021885,0.002424,-0.004755,0.000764,0.001493,0.044,0.086,0.000727,0.000001,0.000036,0.001427,0.000003,0.000064,2968984,4,1,1,0.12
2025-09-19T23:52:00.069974,0.5591,-0.002411,0.004756,0.021902,0.002411,-0.004756,0.000677,0.001433,0.039,0.082,0.000723,0.000002,-0.000048,0.001427,0.000003,0.000003,2968985,4,1,1,0.18
2025-09-19T23:52:00.080122,0.5693,-0.002435,0.004730,0.021918,0.002435,-0.004730,0.000824,0.001323,0.047,0.076,0.000730,0.000002,0.000092,0.001419,0.000004,-0.000100,2968986,4,1,1,0.14
2025-09-19T23:52:00.090428,0.5796,-0.002423,0.004730,0.021915,0.002423,-0.004730,0.000686,0.001423,0.039,0.082,0.000727,0.000002,-0.000043,0.001419,0.000004,-0.000000,2968987,4,1,1,0.14
2025-09-19T23:52:00.101022,0.5902,-0.002419,0.004747,0.021904,0.002419,-0.004747,0.000712,0.001492,0.041,0.085,0.000726,0.000002,-0.000016,0.001424,0.000005,0.000063,2968988,4,1,1,0.19
2025-09-19T23:52:00.111500,0.6007,-0.002417,0.004743,0.021898,0.002417,-0.004743,0.000721,0.001413,0.041,0.081,0.000725,0.000003,-0.000007,0.001423,0.000005,-0.000015,2968989,4,1,1,0.13
