timestamp,elapsed_time,pos_x,pos_y,pos_z,error_x,error_y,roll_ref_rad,pitch_ref_rad,roll_ref_deg,pitch_ref_deg,pid_x_p,pid_x_i,pid_x_d,pid_y_p,pid_y_i,pid_y_d,frame_number,marker_count,send_success,control_active,loop_time_ms
2025-09-26T14:54:10.125696,0.7596,-0.039538,0.005269,0.022310,0.039538,-0.005269,0.008121,0.001016,0.465,0.058,0.007908,0.000209,0.000004,0.001054,0.000028,-0.000066,37808,2,1,1,0.18
2025-09-26T14:54:10.136057,0.7699,-0.039543,0.005274,0.022319,0.039543,-0.005274,0.008136,0.001095,0.466,0.063,0.007909,0.000217,0.000010,0.001055,0.000029,0.000011,37809,2,1,1,0.17
2025-09-26T14:54:10.146136,0.7800,-0.039535,0.005306,0.022302,0.039535,-0.005306,0.008116,0.001153,0.465,0.066,0.007907,0.000225,-0.000016,0.001061,0.000030,0.000062,37810,2,1,1,0.14
2025-09-26T14:54:10.156190,0.7901,-0.039526,0.005285,0.022311,0.039526,-0.005285,0.008121,0.001047,0.465,0.060,0.007905,0.000233,-0.000017,0.001057,0.000031,-0.000041,37811,2,1,1,0.15
2025-09-26T14:54:10.166607,0.8005,-0.039515,0.005290,0.022313,0.039515,-0.005290,0.008123,0.001099,0.465,0.063,0.007903,0.000241,-0.000021,0.001058,0.000032,0.000009,37812,2,1,1,0.17
2025-09-26T14:54:10.177069,0.8110,-0.039502,0.005287,0.022321,0.039502,-0.005287,0.008125,0.001086,0.466,0.062,0.007900,0.000250,-0.000025,0.001057,0.000033,-0.000005,37813,2,1,1,0.12
2025-09-26T14:54:10.187745,0.8216,-0.039515,0.005276,0.022316,0.039515,-0.005276,0.008186,0.001068,0.469,0.061,0.007903,0.000258,0.000025,0.001055,0.000035,-0.000022,37814,2,1,1,0.24
2025-09-26T14:54:10.197715,0.8316,-0.039522,0.005261,0.022315,0.039522,-0.005261,0.008184,0.001059,0.469,0.061,0.007904,0.000266,0.000013,0.001052,0.000036,-0.000028,37815,2,1,1,0.16
2025-09-26T14:54:10.208222,0.8421,-0.039508,0.005274,0.022312,0.039508,-0.005274,0.008151,0.001115,0.467,0.064,0.007902,0.000274,-0.000025,0.001055,0.000037,0.000023,37816,2,1,1,0.13
2025-09-26T14:54:10.218310,0.8522,-0.039564,0.005285,0.022345,0.039564,-0.005285,0.008305,0.001118,0.476,0.064,0.007913,0.000282,0.000110,0.001057,0.000038,0.000023,37817,2,1,1,0.17
2025-09-26T14:54:10.228323,0.8622,-0.039510,0.005261,0.022321,0.039510,-0.005261,0.008086,0.001042,0.463,0.060,0.007902,0.000290,-0.000106,0.001052,0.000039,-0.000049,37818,2,1,1,0.15
2025-09-26T14:54:10.238608,0.8725,-0.039527,0.005278,0.022312,0.039527,-0.005278,0.008236,0.001130,0.472,0.065,0.007905,0.000298,0.000032,0.001056,0.000040,0.000034,37819,2,1,1,0.13
2025-09-26T14:54:10.248667,0.8826,-0.039505,0.005283,0.022319,0.039505,-0.005283,0.008164,0.001107,0.468,0.063,0.007901,0.000306,-0.000043,0.001057,0.000041,0.000010,37820,2,1,1,0.14
2025-09-26T14:54:10.258766,0.8927,-0.039528,0.005278,0.022327,0.039528,-0.005278,0.008264,0.001086,0.474,0.062,0.007906,0.000314,0.000044,0.001056,0.000042,-0.000011,37821,2,1,1,0.17
2025-09-26T14:54:10.269429,0.9033,-0.039500,0.005275,0.022307,0.039500,-0.005275,0.008169,0.001093,0.468,0.063,0.007900,0.000322,-0.000054,0.001055,0.000043,-0.000005,37822,2,1,1,0.44
2025-09-26T14:54:10.279660,0.9135,-0.039537,0.005267,0.022317,0.039537,-0.005267,0.008309,0.001082,0.476,0.062,0.007907,0.000331,0.000071,0.001053,0.000044,-0.000016,37823,2,1,1,0.19
2025-09-26T14:54:10.290055,0.9239,-0.039511,0.005273,0.022298,0.039511,-0.005273,0.008192,0.001113,0.469,0.064,0.007902,0.000339,-0.000049,0.001055,0.000045,0.000013,37824,2,1,1,0.18
2025-09-26T14:54:10.300578,0.9345,-0.039551,0.005299,0.022293,0.039551,-0.005299,0.008332,0.001155,0.477,0.066,0.007910,0.000347,0.000075,0.001060,0.000046,0.000049,37825,2,1,1,0.18
2025-09-26T14:54:10.311085,0.9450,-0.039498,0.005274,0.022306,0.039498,-0.005274,0.008154,0.001055,0.467,0.060,0.007900,0.000356,-0.000101,0.001055,0.000048,-0.000048,37826,2,1,1,0.16
2025-09-26T14:54:10.321721,0.9556,-0.039527,0.005263,0.022310,0.039527,-0.005263,0.008325,0.001080,0.477,0.062,0.007905,0.000364,0.000055,0.001053,0.000049,-0.000021,37827,2,1,1,0.25
2025-09-26T14:54:10.332121,0.9660,-0.039504,0.005284,0.022292,0.039504,-0.005284,0.008230,0.001147,0.472,0.066,0.007901,0.000372,-0.000043,0.001057,0.000050,0.000040,37828,2,1,1,0.15
2025-09-26T14:54:10.342647,0.9765,-0.039529,0.005275,0.022289,0.039529,-0.005275,0.008334,0.001090,0.478,0.062,0.007906,0.000381,0.000048,0.001055,0.000051,-0.000016,37829,2,1,1,0.17
2025-09-26T14:54:10.353144,0.9870,-0.039525,0.005269,0.022298,0.039525,-0.005269,0.008286,0.001095,0.475,0.063,0.007905,0.000389,-0.000008,0.001054,0.000052,-0.000011,37830,2,1,1,0.13
2025-09-26T14:54:10.363754,0.9976,-0.039523,0.005279,0.022291,0.039523,-0.005279,0.008299,0.001127,0.475,0.065,0.007905,0.000397,-0.000003,0.001056,0.000053,0.000018,37831,2,1,1,0.19
2025-09-26T14:54:10.374074,1.0080,-0.039526,0.005284,0.022289,0.039526,-0.005284,0.008316,0.001122,0.476,0.064,0.007905,0.000405,0.000006,0.001057,0.000054,0.000011,37832,2,1,1,0.17
2025-09-26T14:54:10.384355,1.0182,-0.039540,0.005257,0.022299,0.039540,-0.005257,0.008349,0.001053,0.478,0.060,0.007908,0.000414,0.000028,0.001051,0.000055,-0.000054,37833,2,1,1,0.20
2025-09-26T14:54:10.394837,1.0287,-0.039502,0.005260,0.022310,0.039502,-0.005260,0.008250,0.001114,0.473,0.064,0.007900,0.000422,-0.000072,0.001052,0.000056,0.000006,37835,2,1,1,0.12
2025-09-26T14:54:10.405257,1.0391,-0.039514,0.005275,0.022293,0.039514,-0.005275,0.008356,0.001142,0.479,0.065,0.007903,0.000430,0.000023,0.001055,0.000057,0.000029,37836,2,1,1,0.13
2025-09-26T14:54:10.415777,1.0497,-0.039538,0.005273,0.022309,0.039538,-0.005273,0.008391,0.001109,0.481,0.064,0.007908,0.000438,0.000045,0.001055,0.000059,-0.000004,37837,2,1,1,0.12
2025-09-26T14:54:10.426269,1.0602,-0.039531,0.005318,0.022280,0.039531,-0.005318,0.008340,0.001210,0.478,0.069,0.007906,0.000447,-0.000013,0.001064,0.000060,0.000086,37838,2,1,1,0.12
2025-09-26T14:54:10.436806,1.0707,-0.039517,0.005278,0.022303,0.039517,-0.005278,0.008331,0.001039,0.477,0.060,0.007903,0.000455,-0.000027,0.001056,0.000061,-0.000077,37839,2,1,1,0.13
